name,price,category_main,category_sub,img_path,product_no,page_link
LG헬로렌탈 LG UHD TV 65인치 65UR931C0NA-헬로하이렌탈,32500,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202301/1c4d95e3f4aa4d4fdb39e65faa92ce58.jpg,2088,
LG헬로렌탈 LG 4K UHD TV 55인치 55UR931C0NA-헬로하이렌탈,27900,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202301/110cecfe14fa29f2d6e157969c101679.jpg,2087,
"LG헬로렌탈 더함 구글OS QLED TV 85인치 G854Q 36,48,60개월 약정 등록비면제-헬로하이렌탈",75200,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/472922ad35ba2d9f7bedf9ca8f8c4db2.jpg,2041,
"LG헬로렌탈 더함 구글OS QLED TV 75인치 G754Q 36,48,60개월 약정 등록비면제-헬로하이렌탈",40700,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/ae6bf3cc02e26a6371f8148d5054251d.jpg,2040,
"LG헬로렌탈 더함 구글OS QLED TV 65인치 G654Q 36,48,60개월 약정 등록비면제-헬로하이렌탈",28400,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/8c9f2e8b74e4fce41949a25ef6a02e9c.jpg,2039,
"LG헬로렌탈 더함 구글OS QLED TV 55인치 G554Q 36,48,60개월 약정 등록비면제-헬로하이렌탈",20900,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/cf4c6e06f71db9a483b8b6976fa5e0cd.jpg,2038,
"LG헬로렌탈 더함 구글OS QLED TV 50인치 G504Q 36,48,60개월 약정 등록비면제-헬로하이렌탈",18900,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/771bfa9e8060bcece3ad454cef03685e.jpg,2037,
"LG헬로렌탈 더함 구글OS QLED TV 43인치 G434Q 36,48,60개월 약정 등록비면제-헬로하이렌탈",15900,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/8cad7889337d11736028bbe880ca3aa2.jpg,2036,
"LG헬로렌탈 더함 구글OS UHD TV 43인치 G434U 36,48,60개월 약정 등록비면제-헬로하이렌탈",13900,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/c86d7cd5ab3188d8e073a426f304e42f.jpg,2035,
"LG헬로렌탈 더함 구글OS UHD TV 50인치 G504U 36,48,60개월 약정 등록비면제-헬로하이렌탈",15400,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/2a4d439e0839b416dacbe62426e55050.jpg,2034,
"LG헬로렌탈 더함 구글OS UHD TV 55인치 G554U 36,48,60개월 약정 등록비면제-헬로하이렌탈",17300,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/6425464a46f49e420568ae9bbb51429f.jpg,2033,
"LG헬로렌탈 더함 구글OS UHD TV 85인치 G854U 36,48,60개월 약정 등록비면제-헬로하이렌탈",62800,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/ede377190bf1629669eb64188378f6ab.jpg,2032,
더함TV75인치G754U,34900,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/9b78d54a269a56bf348a3679ebf2d551.jpg,2031,
"LG헬로렌탈 더함 구글OS UHD TV 65인치 G654U 36,48,60개월 약정 등록비면제-헬로하이렌탈",23800,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/e6526ca10d2c9f86c7a2c0a34f5337fd.jpg,2030,
LGTV OLED65A2KNA,82900,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/436e73f1d056e7808760e235b33463cc.jpg,2029,
LG전자 올레드 4K 55인치 TV OLED55A2K-헬로하이렌탈,55900,디지털,TV,https://cjhello-hirental.co.kr//cjhello-hirental.co.kr/web/product/big/202308/436e73f1d056e7808760e235b33463cc.jpg,2028,
